COUNTY_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK OR AFRICAN AMERICAN,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC OR LATINO,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,COUNTY_CODE,ENGLISH LANGUAGE LEARNERS,NON-ENGLISH LANGUAGE LEARNERS,ENGLISH LANGUAGE LEARNER,NOT ENGLISH LANGUAGE LEARNER,FORMERLY ENGLISH LANGUAGE LEARNER,AMERICAN INDIAN/ALASKA NATIVE,ASIAN/PACIFIC ISLANDER,BLACK,HISPANIC,HOMELESS,IN FOSTER CARE,NOT HOMELESS,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES
ALBANY,0.11,6.27,18.71,27.77,49.37,0.68,88.01,5.38,2.28,50.63,0.04,1.64,72.23,97.72,99.96,11.99,67.9,84.51,1,,,,,,,,,,,,,,,
ALLEGANY,0.1,0.84,0.69,40.52,48.37,0.05,87.46,0.59,0.0,51.63,0.25,0.54,59.48,100.0,99.75,12.54,97.24,89.04,2,,,,,,,,,,,,,,,
BRONX,0.69,6.49,29.55,75.41,48.46,3.61,82.45,59.11,13.19,51.54,0.0,0.15,24.59,86.81,100.0,17.55,4.0,66.6,32,,,,,,,,,,,,,,,
BROOME,0.23,3.28,8.06,38.54,49.53,0.2,85.35,3.97,0.55,50.47,0.01,2.21,61.46,99.45,99.99,14.65,82.25,86.86,3,,,,,,,,,,,,,,,
CATTARAUGUS,6.5,1.14,2.08,39.48,49.21,0.15,87.52,1.54,0.05,50.79,0.05,1.02,60.52,99.95,99.95,12.48,87.72,85.81,4,,,,,,,,,,,,,,,
CAYUGA,0.52,1.21,3.99,33.24,49.31,0.1,90.73,2.06,0.13,50.69,0.13,1.15,66.76,99.87,99.87,9.27,91.06,85.69,5,,,,,,,,,,,,,,,
CHAUTAUQUA,1.21,0.67,2.53,41.11,48.11,0.56,89.24,9.99,1.48,51.89,0.31,2.25,58.89,98.52,99.69,10.76,83.35,86.7,6,,,,,,,,,,,,,,,
CHEMUNG,0.24,1.53,10.37,35.85,49.72,0.03,88.6,2.68,0.12,50.28,0.0,1.47,64.15,99.88,100.0,11.4,83.71,76.08,7,,,,,,,,,,,,,,,
CHENANGO,0.36,0.65,1.38,46.35,50.36,0.04,84.93,2.07,0.04,49.64,0.57,0.12,53.65,99.96,99.43,15.07,95.42,88.57,8,,,,,,,,,,,,,,,
CLINTON,0.03,1.26,2.31,37.62,49.7,0.05,83.53,0.69,0.11,50.3,0.05,0.25,62.38,99.89,99.95,16.47,95.47,86.03,9,,,,,,,,,,,,,,,
COLUMBIA,0.08,3.11,7.64,35.43,47.05,0.32,85.15,4.98,1.55,52.95,0.72,1.31,64.57,98.45,99.28,14.85,82.88,85.51,10,,,,,,,,,,,,,,,
CORTLAND,0.24,1.22,2.49,36.96,49.93,0.0,84.35,2.49,0.2,50.07,0.15,0.44,63.04,99.8,99.85,15.65,93.13,85.86,11,,,,,,,,,,,,,,,
DELAWARE,0.28,1.55,0.94,47.57,50.66,0.11,82.62,3.97,0.39,49.34,0.06,0.83,52.43,99.61,99.94,17.38,92.44,89.02,12,,,,,,,,,,,,,,,
DUTCHESS,0.08,3.9,12.25,27.33,49.14,0.34,87.26,11.19,0.8,50.86,0.05,0.79,72.67,99.2,99.95,12.74,71.78,86.72,13,,,,,,,,,,,,,,,
ERIE,0.92,3.74,18.93,36.2,50.34,0.6,87.13,6.23,3.15,49.66,0.02,1.16,63.8,96.85,99.98,12.87,69.01,84.71,14,,,,,,,,,,,,,,,
ESSEX,0.31,0.93,0.62,44.82,49.0,0.0,85.47,0.7,0.0,51.0,0.0,0.93,55.18,100.0,100.0,14.53,96.52,89.8,15,,,,,,,,,,,,,,,
FRANKLIN,13.0,0.89,0.52,47.84,48.97,0.0,82.6,0.44,0.08,51.03,0.89,0.28,52.16,99.92,99.11,17.4,84.86,83.57,16,,,,,,,,,,,,,,,
FULTON,0.24,1.38,3.15,44.89,50.71,0.0,86.03,1.81,0.12,49.29,0.04,0.47,55.11,99.88,99.96,13.97,92.96,80.68,17,,,,,,,,,,,,,,,
GENESEE,0.11,0.63,3.36,34.1,50.89,0.15,88.89,2.84,0.26,49.11,0.15,1.99,65.9,99.74,99.85,11.11,91.07,91.99,18,,,,,,,,,,,,,,,
GREENE,0.39,1.21,4.1,38.9,49.47,0.0,85.04,4.39,0.19,50.53,0.05,1.45,61.1,99.81,99.95,14.96,88.47,87.45,19,,,,,,,,,,,,,,,
HAMILTON,0.0,0.71,0.0,33.33,46.1,0.0,85.11,0.0,0.0,53.9,0.0,2.84,66.67,100.0,100.0,14.89,96.45,85.82,20,,,,,,,,,,,,,,,
HERKIMER,0.14,0.64,1.93,39.0,49.8,0.0,85.8,1.18,0.07,50.2,0.36,0.54,61.0,99.93,99.64,14.2,95.56,86.8,21,,,,,,,,,,,,,,,
JEFFERSON,0.6,1.63,5.47,38.95,49.27,0.14,84.3,4.88,0.28,50.73,0.04,2.21,61.05,99.72,99.96,15.7,85.21,86.81,22,,,,,,,,,,,,,,,
KINGS,0.42,16.7,43.22,68.67,48.25,3.03,86.36,25.64,9.21,51.75,0.0,0.21,31.33,90.79,100.0,13.64,13.8,73.63,33,,,,,,,,,,,,,,,
LEWIS,0.0,0.48,0.72,44.11,49.6,0.0,87.34,1.43,0.0,50.4,0.0,0.48,55.89,100.0,100.0,12.66,96.89,90.13,23,,,,,,,,,,,,,,,
LIVINGSTON,0.0,0.98,1.96,30.45,49.19,0.23,88.75,2.6,0.41,50.81,0.15,0.94,69.55,99.59,99.85,11.25,93.53,90.85,24,,,,,,,,,,,,,,,
MADISON,0.99,0.99,1.28,31.1,46.9,0.12,87.1,1.31,0.42,53.1,0.06,0.96,68.9,99.58,99.94,12.9,94.48,89.22,25,,,,,,,,,,,,,,,
MONROE,0.19,4.36,21.72,37.63,49.63,0.64,87.64,9.93,2.9,50.37,0.01,1.03,62.37,97.1,99.99,12.36,62.77,84.58,26,,,,,,,,,,,,,,,
MONTGOMERY,0.22,0.8,4.07,42.08,50.04,0.22,82.92,18.63,1.64,49.96,0.13,0.66,57.92,98.36,99.87,17.08,75.62,76.95,27,,,,,,,,,,,,,,,
NASSAU,0.11,11.18,13.46,20.86,48.95,1.22,89.68,16.82,2.6,51.05,0.0,0.28,79.14,97.4,100.0,10.32,58.15,93.34,28,,,,,,,,,,,,,,,
NEW YORK,0.57,15.11,26.35,66.94,54.23,2.78,87.11,46.65,9.82,45.77,0.0,0.46,33.06,90.18,100.0,12.89,10.86,74.72,31,,,,,,,,,,,,,,,
NIAGARA,2.11,1.28,11.14,32.78,49.06,0.17,87.84,2.65,0.34,50.94,0.12,1.34,67.22,99.66,99.88,12.16,81.48,86.4,40,,,,,,,,,,,,,,,
ONEIDA,0.29,5.71,8.25,39.55,49.78,0.91,86.95,5.18,3.62,50.22,0.03,0.81,60.45,96.38,99.97,13.05,79.76,86.1,41,,,,,,,,,,,,,,,
ONONDAGA,1.18,4.3,16.8,34.32,49.41,0.69,87.37,4.94,3.62,50.59,0.05,1.47,65.68,96.38,99.95,12.63,71.31,83.25,42,,,,,,,,,,,,,,,
ONTARIO,0.3,1.14,3.57,27.42,49.46,0.15,90.28,4.32,0.6,50.54,0.13,1.35,72.58,99.4,99.87,9.72,89.33,91.35,43,,,,,,,,,,,,,,,
ORANGE,0.18,3.04,13.95,34.42,49.38,0.55,88.55,22.12,1.5,50.62,0.08,0.53,65.58,98.5,99.92,11.45,60.19,88.76,44,,,,,,,,,,,,,,,
ORLEANS,0.56,0.81,3.87,39.97,47.35,0.2,87.78,5.55,0.56,52.65,1.02,2.14,60.03,99.44,98.98,12.22,87.07,89.61,45,,,,,,,,,,,,,,,
OSWEGO,0.28,0.76,1.27,44.13,49.88,0.03,86.91,2.32,0.29,50.12,0.17,0.57,55.87,99.71,99.83,13.09,94.8,81.47,46,,,,,,,,,,,,,,,
OTSEGO,0.0,1.63,2.93,39.69,49.13,0.04,85.24,2.81,0.0,50.87,0.12,0.24,60.31,100.0,99.88,14.76,92.4,87.27,47,,,,,,,,,,,,,,,
PUTNAM,0.13,2.55,2.25,14.04,48.6,0.32,86.94,14.31,0.85,51.4,0.0,0.87,85.96,99.15,100.0,13.06,79.88,93.89,48,,,,,,,,,,,,,,,
QUEENS,0.8,28.92,22.25,66.42,48.5,3.59,89.11,35.79,10.85,51.5,0.0,0.18,33.58,89.15,100.0,10.89,12.05,77.28,34,,,,,,,,,,,,,,,
RENSSELAER,0.12,1.71,10.45,32.12,49.95,0.34,86.02,4.87,0.55,50.05,0.03,1.68,67.88,99.45,99.97,13.98,81.17,89.08,49,,,,,,,,,,,,,,,
RICHMOND,0.44,10.06,15.25,47.98,48.38,1.28,83.86,22.96,2.29,51.62,0.0,0.22,52.02,97.71,100.0,16.14,51.08,81.03,35,,,,,,,,,,,,,,,
ROCKLAND,0.24,8.79,17.45,27.94,49.58,2.46,88.64,21.47,4.96,50.42,0.0,0.62,72.06,95.04,100.0,11.36,51.43,88.85,50,,,,,,,,,,,,,,,
SAINT LAWRENCE,3.76,1.1,1.49,44.21,48.93,0.04,85.08,0.86,0.02,51.07,0.37,0.22,55.79,99.98,99.63,14.92,92.57,85.26,51,,,,,,,,,,,,,,,
SARATOGA,0.12,2.15,2.02,18.29,48.94,0.15,90.61,1.92,0.32,51.06,0.01,0.7,81.71,99.68,99.99,9.39,93.1,90.31,52,,,,,,,,,,,,,,,
SCHENECTADY,0.13,10.09,16.36,39.07,49.64,0.39,88.17,7.77,0.99,50.36,0.0,0.53,60.93,99.01,100.0,11.83,65.13,79.71,53,,,,,,,,,,,,,,,
SCHOHARIE,0.0,0.44,1.46,42.22,47.56,0.0,87.11,2.22,0.0,52.44,0.0,0.63,57.78,100.0,100.0,12.89,95.24,81.84,54,,,,,,,,,,,,,,,
SCHUYLER,0.48,0.48,1.45,37.48,49.92,0.0,90.47,2.1,0.32,50.08,0.0,0.97,62.52,99.68,100.0,9.53,94.51,87.72,55,,,,,,,,,,,,,,,
SENECA,0.15,1.14,3.5,32.83,52.74,0.15,85.41,3.12,0.0,47.26,0.3,0.38,67.17,100.0,99.7,14.59,91.72,87.01,56,,,,,,,,,,,,,,,
STEUBEN,0.3,1.41,2.01,39.85,49.19,0.05,85.55,1.5,0.11,50.81,0.05,1.12,60.15,99.89,99.95,14.45,93.67,86.26,57,,,,,,,,,,,,,,,
SUFFOLK,0.26,4.14,9.1,26.9,48.88,1.03,88.46,18.68,2.8,51.12,0.04,0.62,73.1,97.2,99.96,11.54,67.19,91.82,58,,,,,,,,,,,,,,,
SULLIVAN,0.25,1.58,12.42,42.6,48.68,0.67,87.06,17.59,1.27,51.32,0.56,0.63,57.4,98.73,99.44,12.94,67.53,82.62,59,,,,,,,,,,,,,,,
TIOGA,0.04,0.64,1.33,40.46,49.62,0.0,88.58,1.24,0.04,50.38,0.04,0.3,59.54,99.96,99.96,11.42,96.45,89.05,60,,,,,,,,,,,,,,,
TOMPKINS,0.26,6.82,6.82,30.3,49.65,0.06,86.6,3.5,1.1,50.35,0.06,2.31,69.7,98.9,99.94,13.4,80.3,88.56,61,,,,,,,,,,,,,,,
ULSTER,0.38,2.0,8.54,36.23,48.67,0.16,85.19,10.45,0.67,51.33,0.05,1.18,63.77,99.33,99.95,14.81,77.44,86.58,62,,,,,,,,,,,,,,,
WARREN,0.25,1.85,2.2,28.97,49.14,0.1,87.09,1.69,0.19,50.86,0.0,0.41,71.03,99.81,100.0,12.91,93.59,86.65,63,,,,,,,,,,,,,,,
WASHINGTON,0.25,0.51,1.01,37.56,49.53,0.0,86.91,1.08,0.0,50.47,0.25,0.47,62.44,100.0,99.75,13.09,96.67,83.66,64,,,,,,,,,,,,,,,
WAYNE,0.3,0.98,4.55,36.25,48.59,0.17,88.99,4.7,0.41,51.41,0.26,1.78,63.75,99.59,99.74,11.01,87.68,89.93,65,,,,,,,,,,,,,,,
WESTCHESTER,0.14,5.65,15.15,32.53,49.71,1.37,87.31,26.6,3.18,50.29,0.0,0.99,67.47,96.82,100.0,12.69,51.46,89.45,66,,,,,,,,,,,,,,,
WYOMING,0.15,0.74,0.52,32.15,49.15,0.15,87.44,1.18,0.0,50.85,0.0,1.18,67.85,100.0,100.0,12.56,96.23,91.06,67,,,,,,,,,,,,,,,
YATES,0.12,0.12,0.6,43.77,50.06,0.12,87.18,1.93,0.85,49.94,0.85,0.85,56.23,99.15,99.15,12.82,96.37,85.73,68,,,,,,,,,,,,,,,
ALBANY,0.0,6.08,18.39,30.12,47.2,,82.78,5.58,,48.12,0.0,0.75,69.81,,0.0,11.99,62.4,84.85,1,1.63,40.52,,,,,,,,,,,,,
ALLEGANY,0.0,0.0,0.0,42.95,48.51,,55.69,0.0,,51.49,0.0,0.0,57.05,,0.0,8.39,18.64,90.34,2,0.0,0.0,,,,,,,,,,,,,
BRONX,0.12,4.96,19.32,71.53,47.47,,74.91,55.73,,51.14,0.0,0.27,24.94,,0.0,17.99,2.71,69.83,32,11.41,50.71,,,,,,,,,,,,,
BROOME,0.0,2.18,7.64,41.19,49.83,,85.46,3.71,,50.17,0.0,1.66,58.81,,0.0,14.19,74.04,87.61,3,0.4,21.34,,,,,,,,,,,,,
CATTARAUGUS,3.42,0.0,1.3,42.61,48.53,,81.17,0.13,,51.47,0.0,0.43,57.39,,0.0,12.02,53.43,87.68,4,0.0,0.0,,,,,,,,,,,,,
CAYUGA,0.0,0.0,4.19,36.29,48.89,,76.14,0.8,,51.11,0.0,0.53,63.71,,0.0,8.14,56.46,86.24,5,0.0,0.0,,,,,,,,,,,,,
CHAUTAUQUA,0.74,0.0,0.97,45.98,49.26,,79.0,9.4,,50.74,0.26,1.93,54.02,,7.25,10.57,36.09,87.52,6,1.4,31.55,,,,,,,,,,,,,
CHEMUNG,0.0,0.94,10.12,41.46,48.91,,88.91,1.79,,51.09,0.0,0.15,58.54,,0.0,11.09,79.59,76.79,7,0.0,0.0,,,,,,,,,,,,,
CHENANGO,0.0,0.0,0.0,49.17,50.41,,81.3,0.25,,49.59,0.0,0.0,50.83,,0.0,13.85,29.35,89.59,8,0.0,0.0,,,,,,,,,,,,,
CLINTON,0.0,0.0,1.39,39.8,49.38,,79.33,0.0,,50.62,0.0,0.0,60.2,,0.0,16.5,53.37,86.37,9,0.0,0.0,,,,,,,,,,,,,
COLUMBIA,0.0,2.15,6.02,38.21,45.73,,76.61,1.85,,52.86,0.53,0.92,60.38,,11.35,15.22,69.13,86.54,10,0.53,12.18,,,,,,,,,,,,,
CORTLAND,0.0,0.0,2.0,37.38,47.22,,84.31,0.49,,52.78,0.0,0.0,62.62,,0.0,15.69,42.3,86.89,11,0.0,0.0,,,,,,,,,,,,,
DELAWARE,0.0,0.0,0.0,46.02,51.0,,59.94,0.52,,47.51,0.0,0.0,50.89,,0.0,13.3,31.92,90.49,12,0.0,0.0,,,,,,,,,,,,,
DUTCHESS,0.0,2.81,10.9,28.12,49.79,,86.54,11.47,,50.21,0.0,0.4,71.88,,0.0,12.53,70.18,87.96,13,0.42,13.87,,,,,,,,,,,,,
ERIE,0.28,3.11,18.48,37.78,50.14,,85.1,5.29,,49.72,0.0,0.36,61.65,,0.0,12.77,65.43,85.96,14,2.62,18.97,,,,,,,,,,,,,
ESSEX,0.0,0.0,0.0,44.94,44.21,,53.3,0.0,,47.11,0.0,0.0,49.2,,0.0,10.85,0.0,90.68,15,0.0,0.0,,,,,,,,,,,,,
FRANKLIN,12.14,0.0,0.0,47.59,48.43,,81.6,0.0,,51.57,0.0,0.0,52.41,,0.0,17.47,30.41,85.17,16,0.0,0.0,,,,,,,,,,,,,
FULTON,0.0,0.2,2.3,46.71,49.68,,84.6,1.51,,50.32,0.0,0.0,53.29,,0.0,15.4,73.65,80.87,17,0.0,0.0,,,,,,,,,,,,,
GENESEE,0.0,0.0,2.51,38.31,48.82,,76.77,0.43,,51.18,0.0,1.74,61.69,,0.0,10.75,40.47,92.19,18,0.0,0.0,,,,,,,,,,,,,
GREENE,0.0,0.0,3.05,39.59,50.54,,70.83,2.6,,49.46,0.0,0.79,60.41,,0.0,13.75,68.42,88.36,19,0.0,0.0,,,,,,,,,,,,,
HAMILTON,0.0,0.0,0.0,25.77,24.74,,8.25,0.0,,28.87,0.0,0.0,20.62,,0.0,5.15,0.0,89.69,20,0.0,0.0,,,,,,,,,,,,,
HERKIMER,0.0,0.0,0.2,42.57,49.44,,76.26,0.0,,50.05,0.0,0.0,55.52,,0.0,12.81,38.91,87.29,21,0.0,0.0,,,,,,,,,,,,,
JEFFERSON,0.0,0.62,5.17,41.94,49.57,,78.35,4.27,,50.43,0.0,1.21,56.99,,0.0,14.91,58.64,88.29,22,0.0,0.0,,,,,,,,,,,,,
KINGS,0.04,15.28,39.18,68.69,47.26,,80.55,21.4,,51.15,0.0,0.37,30.33,,0.0,14.59,12.91,75.78,33,7.02,49.44,,,,,,,,,,,,,
LEWIS,0.0,0.0,0.0,44.36,50.41,,71.49,0.0,,49.59,0.0,0.0,55.64,,0.0,12.09,7.35,90.69,23,0.0,0.0,,,,,,,,,,,,,
LIVINGSTON,0.0,0.0,0.0,30.11,49.27,,77.01,0.0,,50.73,0.0,0.0,69.89,,0.0,9.19,48.65,90.78,24,0.0,0.0,,,,,,,,,,,,,
MADISON,0.21,0.0,0.0,33.72,48.48,,74.73,0.0,,51.18,0.0,0.18,65.94,,0.0,12.04,66.22,89.43,25,0.0,0.0,,,,,,,,,,,,,
MONROE,0.0,3.45,20.54,37.54,49.74,,86.04,9.48,,49.04,0.0,0.76,59.75,,0.0,12.05,62.07,85.95,26,2.47,28.46,,,,,,,,,,,,,
MONTGOMERY,0.0,0.0,1.6,46.28,50.8,,82.93,15.87,,49.2,0.0,0.22,53.72,,0.0,17.07,48.18,81.16,27,1.46,46.5,,,,,,,,,,,,,
NASSAU,0.02,10.23,12.51,24.12,49.14,,88.53,17.19,,50.83,0.0,0.13,75.75,,0.0,10.89,56.36,93.73,28,2.29,38.91,,,,,,,,,,,,,
NEW YORK,0.09,13.21,22.71,65.86,53.47,,77.07,43.21,,45.53,0.0,0.22,33.12,,0.0,13.47,9.33,77.37,31,8.05,36.56,,,,,,,,,,,,,
NIAGARA,1.98,0.84,10.74,35.26,48.09,,85.97,1.69,,51.91,0.0,0.87,64.74,,0.0,12.73,77.14,86.57,40,0.0,0.0,,,,,,,,,,,,,
ONEIDA,0.0,5.56,7.73,43.67,49.08,,84.09,1.86,,50.92,0.0,0.26,56.33,,0.0,12.37,61.05,86.97,41,2.95,23.16,,,,,,,,,,,,,
ONONDAGA,0.32,3.99,16.52,36.31,49.7,,86.16,4.72,,50.3,0.0,0.78,63.69,,0.0,12.36,64.03,84.83,42,3.2,25.34,,,,,,,,,,,,,
ONTARIO,0.0,0.61,2.74,29.14,49.03,,86.43,3.83,,50.97,0.0,0.75,69.85,,0.0,9.18,65.08,91.34,43,0.42,13.23,,,,,,,,,,,,,
ORANGE,0.0,1.31,13.44,36.07,49.62,,85.91,23.2,,50.35,0.0,0.03,63.63,,0.0,11.49,58.56,90.17,44,0.96,26.27,,,,,,,,,,,,,
ORLEANS,0.0,0.0,3.33,42.45,47.72,,88.22,2.71,,52.28,0.0,1.13,57.55,,0.0,11.78,77.57,90.37,45,0.0,0.0,,,,,,,,,,,,,
OSWEGO,0.16,0.08,0.41,46.8,49.79,,86.67,1.64,,50.21,0.0,0.0,53.2,,0.0,13.33,71.04,83.54,46,0.0,0.0,,,,,,,,,,,,,
