COUNTY_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK OR AFRICAN AMERICAN,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC OR LATINO,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,COUNTY_CODE,ENGLISH LANGUAGE LEARNERS,NON-ENGLISH LANGUAGE LEARNERS,ENGLISH LANGUAGE LEARNER,NOT ENGLISH LANGUAGE LEARNER,FORMERLY ENGLISH LANGUAGE LEARNER,AMERICAN INDIAN/ALASKA NATIVE,ASIAN/PACIFIC ISLANDER,BLACK,HISPANIC,HOMELESS,IN FOSTER CARE,NOT HOMELESS,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES
LIVINGSTON,0.0,0.0,0.0,33.46,49.85,,78.32,0.0,,50.15,0.0,0.0,66.54,,0.0,9.37,63.57,92.04,24,,,0.0,0.0,0.0,,,,,,,,,,
MADISON,0.0,0.0,0.0,38.1,48.64,,77.23,0.32,,51.36,0.0,0.0,61.9,,0.0,11.51,72.19,89.75,25,,,0.0,0.0,0.0,,,,,,,,,,
MONROE,0.0,3.25,21.85,42.05,49.13,,85.75,11.28,,48.7,0.0,0.7,56.8,,0.0,12.29,59.02,86.37,26,,,3.19,37.62,0.8,,,,,,,,,,
MONTGOMERY,0.0,0.0,2.86,49.93,50.57,,75.76,17.2,,49.43,0.0,0.0,50.07,,0.0,15.34,40.72,81.43,27,,,1.91,44.35,0.0,,,,,,,,,,
NASSAU,0.0,11.01,11.63,29.4,48.62,,88.16,20.33,,51.3,0.0,0.24,70.54,,0.0,11.04,52.75,92.27,28,,,3.88,42.23,1.17,,,,,,,,,,
NEW YORK,0.02,13.13,22.01,66.28,53.44,,75.33,42.88,,45.64,0.0,0.53,30.46,,0.0,14.67,9.69,79.69,31,,,6.8,33.29,4.14,,,,,,,,,,
NIAGARA,1.96,1.1,11.51,38.32,48.97,,85.47,2.08,,51.03,0.0,1.67,61.68,,0.0,13.15,77.39,86.15,40,,,0.11,6.08,0.0,,,,,,,,,,
ONEIDA,0.0,5.52,8.05,46.87,49.22,,82.94,4.69,,50.78,0.0,0.63,53.13,,0.0,12.36,60.77,88.38,41,,,2.27,24.14,2.09,,,,,,,,,,
ONONDAGA,0.31,3.67,17.1,40.43,49.36,,85.68,4.59,,50.6,0.0,1.23,59.42,,0.0,12.44,64.54,86.03,42,,,2.49,22.42,0.86,,,,,,,,,,
ONTARIO,0.0,1.17,1.6,31.74,48.02,,85.08,4.59,,51.98,0.0,1.37,68.26,,0.0,8.45,66.36,91.97,43,,,0.47,12.82,0.0,,,,,,,,,,
ORANGE,0.0,1.44,13.21,39.37,49.39,,84.86,25.79,,50.54,0.0,0.25,60.03,,0.0,12.69,56.24,89.99,44,,,1.53,39.6,0.94,,,,,,,,,,
ORLEANS,0.0,0.0,0.89,46.93,49.13,,81.26,3.62,,50.87,0.0,1.42,53.07,,0.0,13.39,74.65,90.92,45,,,0.0,0.0,0.0,,,,,,,,,,
OSWEGO,0.08,0.0,0.34,47.99,48.72,,87.56,1.81,,51.28,0.19,0.26,52.01,,9.27,12.44,75.56,85.58,46,,,0.29,13.97,0.0,,,,,,,,,,
OTSEGO,0.0,1.17,2.06,40.54,49.84,,64.38,2.11,,50.16,0.0,0.0,59.46,,0.0,12.44,38.81,90.33,47,,,0.0,0.0,0.0,,,,,,,,,,
PUTNAM,0.0,1.53,2.2,20.48,49.01,,86.3,17.19,,50.99,0.0,0.77,79.52,,0.0,13.7,75.61,93.97,48,,,1.05,16.06,0.2,,,,,,,,,,
QUEENS,0.65,28.01,19.89,71.22,47.12,,81.24,35.3,,51.86,0.0,0.52,28.78,,0.0,12.26,11.06,82.38,34,,,7.47,60.66,5.78,,,,,,,,,,
RENSSELAER,0.0,1.71,9.83,37.72,48.0,,85.29,5.71,,52.0,0.0,2.18,62.28,,0.0,14.71,63.34,89.77,49,,,0.44,15.39,0.0,,,,,,,,,,
RICHMOND,0.0,9.52,13.58,53.35,47.83,,75.1,25.08,,52.17,0.0,0.16,46.58,,0.0,17.91,48.41,83.94,35,,,1.98,76.22,1.89,,,,,,,,,,
ROCKLAND,0.05,7.43,14.21,35.68,49.35,,87.9,27.04,,50.33,0.0,0.45,64.08,,0.0,11.78,47.43,88.2,50,,,7.46,63.76,2.89,,,,,,,,,,
SAINT LAWRENCE,3.36,0.0,0.0,48.5,50.07,,71.89,0.0,,49.56,0.0,0.0,51.13,,0.0,13.89,41.84,87.49,51,,,0.0,0.0,0.0,,,,,,,,,,
SARATOGA,0.0,2.44,1.51,21.67,48.63,,88.08,2.35,,51.37,0.0,0.17,78.33,,0.0,10.08,84.34,92.44,52,,,0.16,14.82,0.0,,,,,,,,,,
SCHENECTADY,0.0,12.38,15.66,44.7,49.82,,84.96,7.32,,50.18,0.0,0.71,55.3,,0.0,12.79,58.23,80.14,53,,,1.13,40.79,0.65,,,,,,,,,,
SCHOHARIE,0.0,0.0,0.0,46.49,50.85,,74.28,1.33,,49.15,0.0,0.0,53.51,,0.0,11.9,33.85,87.14,54,,,0.0,0.0,0.0,,,,,,,,,,
SCHUYLER,0.0,0.0,0.0,40.53,49.03,,87.96,0.88,,50.97,0.0,0.0,59.47,,0.0,12.04,21.77,91.33,55,,,0.0,0.0,0.0,,,,,,,,,,
SENECA,0.0,0.0,0.45,41.38,48.61,,81.41,1.96,,51.39,0.0,0.0,58.62,,0.0,13.84,79.98,86.0,56,,,0.0,0.0,0.0,,,,,,,,,,
STEUBEN,0.0,1.29,1.79,44.86,49.44,,76.47,0.38,,49.65,0.0,0.53,54.36,,0.0,12.6,44.14,90.17,57,,,0.0,0.0,0.0,,,,,,,,,,
SUFFOLK,0.07,3.43,8.49,35.24,48.82,,87.23,22.81,,51.15,0.0,0.42,63.92,,0.0,12.38,61.81,91.76,58,,,4.5,63.64,0.8,,,,,,,,,,
SULLIVAN,0.0,0.36,10.15,50.96,48.9,,72.9,19.84,,51.1,0.71,0.36,49.04,,10.08,11.22,57.55,85.86,59,,,2.85,47.12,0.0,,,,,,,,,,
TIOGA,0.0,0.0,0.0,44.31,50.6,,86.89,0.22,,49.4,0.0,0.0,55.69,,0.0,13.11,51.47,90.12,60,,,0.0,0.0,0.0,,,,,,,,,,
TOMPKINS,0.0,5.8,4.12,33.45,46.68,,83.57,2.98,,51.97,0.0,3.32,65.2,,0.0,9.61,56.05,90.42,61,,,0.61,31.51,0.31,,,,,,,,,,
ULSTER,0.0,0.71,7.78,43.71,48.97,,83.76,13.33,,51.03,0.0,1.41,56.29,,0.0,16.24,72.53,88.52,62,,,1.52,34.06,0.16,,,,,,,,,,
WARREN,0.0,0.49,1.4,37.11,48.13,,80.85,1.4,,51.87,0.0,0.21,61.84,,0.0,11.86,57.94,88.52,63,,,0.0,0.0,0.0,,,,,,,,,,
WASHINGTON,0.0,0.0,0.0,41.97,49.07,,70.3,0.19,,50.93,0.0,0.0,58.03,,0.0,14.11,40.11,83.42,64,,,0.0,0.0,0.0,,,,,,,,,,
WAYNE,0.0,0.0,2.79,43.25,50.36,,81.24,4.22,,49.64,0.0,0.87,56.75,,0.0,10.81,73.17,88.48,65,,,0.0,0.0,0.0,,,,,,,,,,
WESTCHESTER,0.0,4.89,12.72,35.96,49.13,,85.23,28.53,,50.5,0.0,0.84,52.48,,0.0,12.22,48.9,91.08,66,,,2.78,41.88,1.44,,,,,,,,,,
WYOMING,0.0,0.0,0.0,37.93,50.49,,79.77,0.0,,49.51,0.0,0.0,62.07,,0.0,12.07,6.2,94.45,67,,,0.0,0.0,0.0,,,,,,,,,,
YATES,0.0,0.0,0.0,52.54,45.76,,86.57,1.83,,54.24,0.0,0.0,47.46,,0.0,13.43,73.66,80.83,68,,,0.0,0.0,0.0,,,,,,,,,,
ALBANY,,,,34.24,47.23,,85.72,,,48.47,0.0,0.92,65.76,,0.0,11.84,58.53,87.99,1,,,2.11,37.32,0.73,0.0,8.54,18.99,7.26,1.55,0.0,51.25,0.0,0.0,0.0
ALLEGANY,,,,46.19,49.97,,51.92,,,48.01,0.0,0.0,53.81,,0.0,8.25,25.44,92.52,2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRONX,,,,73.7,47.35,,73.66,,,51.23,0.0,0.09,20.82,,0.0,19.2,3.01,76.16,32,,,11.63,55.91,5.81,0.39,4.82,18.94,56.7,9.51,0.0,67.37,0.0,0.0,0.0
BROOME,,,,46.34,48.7,,84.71,,,51.3,0.0,3.22,53.66,,0.0,13.31,68.21,89.04,3,,,0.59,21.94,0.24,0.0,2.08,8.52,4.59,1.92,0.0,44.12,0.0,0.0,0.0
CATTARAUGUS,,,,48.02,49.32,,78.47,,,50.68,0.0,0.63,51.98,,0.0,11.13,55.27,90.34,4,,,0.0,0.0,0.0,3.68,0.0,1.12,0.21,0.18,0.0,6.41,0.0,0.0,0.0
CAYUGA,,,,38.58,50.7,,68.55,,,49.3,0.0,0.37,61.42,,0.0,7.69,69.43,86.44,5,,,0.0,0.0,0.0,0.0,0.0,4.94,2.14,1.12,0.0,27.07,0.0,0.0,0.0
CHAUTAUQUA,,,,45.87,49.84,,73.99,,,50.16,0.0,2.37,54.13,,0.0,9.3,47.87,87.99,6,,,2.06,32.78,0.53,0.63,0.12,0.67,10.28,0.53,0.0,19.37,0.0,0.0,0.0
CHEMUNG,,,,44.74,49.49,,88.74,,,50.51,0.0,1.22,55.26,,0.0,11.26,78.65,79.3,7,,,0.0,0.0,0.0,0.0,1.61,11.5,2.12,0.0,0.0,0.0,0.0,0.0,0.0
CHENANGO,,,,49.82,49.88,,76.68,,,50.12,0.0,0.0,50.18,,0.0,14.75,40.33,89.69,8,,,0.0,0.0,0.0,0.0,0.0,0.92,0.37,0.86,0.0,16.03,0.0,0.0,0.0
CLINTON,,,,44.05,48.15,,79.42,,,51.85,0.0,0.24,55.95,,0.0,17.9,59.11,88.43,9,,,0.0,0.0,0.0,0.2,0.24,1.81,0.0,0.99,0.0,22.71,0.0,0.0,0.0
COLUMBIA,,,,44.88,48.38,,80.21,,,51.31,0.31,0.81,54.81,,6.3,14.11,66.6,88.3,10,,,1.87,27.09,0.0,0.0,2.5,5.99,3.81,2.06,0.0,20.29,0.0,0.0,0.0
CORTLAND,,,,42.71,47.31,,82.79,,,52.69,0.0,1.06,57.29,,0.0,11.97,57.37,90.19,11,,,0.0,0.0,0.0,0.0,0.0,0.99,0.5,0.71,0.0,11.19,0.0,0.0,0.0
DELAWARE,,,,43.68,48.46,,53.4,,,48.87,0.0,0.0,52.03,,0.0,12.48,29.25,89.91,12,,,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0
DUTCHESS,,,,31.61,49.06,,87.19,,,50.71,0.0,1.01,68.39,,0.0,12.58,66.47,88.91,13,,,0.96,31.95,0.11,0.0,2.8,11.59,13.8,1.49,0.16,63.87,6.54,0.0,0.0
ERIE,,,,41.49,49.65,,85.39,,,50.23,0.0,0.71,57.43,,0.0,12.97,61.58,86.47,14,,,3.14,20.21,0.98,0.26,3.81,18.53,6.51,0.71,0.0,19.14,0.0,0.0,0.0
ESSEX,,,,39.43,44.69,,50.86,,,47.2,0.0,0.0,52.34,,0.0,10.74,12.69,92.57,15,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANKLIN,,,,51.89,49.09,,79.66,,,50.0,0.0,0.0,48.11,,0.0,17.6,28.26,88.37,16,,,0.0,0.0,0.0,11.57,0.0,0.0,0.0,1.28,0.3,32.64,11.75,0.0,0.0
FULTON,,,,47.84,47.95,,81.9,,,52.05,0.0,1.29,52.16,,0.0,14.9,74.37,82.86,17,,,0.0,0.0,0.0,0.0,0.28,2.64,0.45,0.28,0.0,2.14,0.0,0.0,0.0
GENESEE,,,,40.0,49.89,,80.55,,,50.11,0.0,0.55,60.0,,0.0,10.93,50.11,94.54,18,,,0.0,0.0,0.0,0.0,0.0,1.48,2.08,0.0,0.0,0.0,0.0,0.0,0.0
GREENE,,,,38.91,52.74,,78.65,,,47.26,0.0,1.37,61.09,,0.0,14.13,66.95,90.01,19,,,0.0,0.0,0.0,0.0,0.0,4.18,2.89,0.38,0.0,6.99,0.0,0.0,0.0
HAMILTON,,,,33.33,20.99,,0.0,,,22.22,0.0,0.0,24.69,,0.0,0.0,0.0,93.83,20,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERKIMER,,,,48.56,49.23,,74.35,,,50.77,0.0,0.0,50.67,,0.0,12.75,39.88,89.48,21,,,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEFFERSON,,,,49.22,48.81,,77.51,,,51.19,0.0,2.27,50.78,,0.0,15.73,65.12,88.02,22,,,0.0,0.0,0.0,0.0,0.28,4.79,5.24,0.19,0.0,5.04,0.0,45.48,13.16
KINGS,,,,74.52,46.73,,81.37,,,51.89,0.0,0.49,24.24,,0.0,15.78,12.91,81.52,33,,,6.87,49.72,4.91,0.11,15.56,38.11,24.03,6.43,0.0,72.84,0.0,0.0,0.0
LEWIS,,,,49.78,50.55,,72.2,,,49.45,0.0,0.0,50.22,,0.0,14.4,52.86,92.58,23,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIVINGSTON,,,,35.84,49.2,,81.55,,,50.8,0.0,0.0,64.16,,0.0,10.47,43.55,93.27,24,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,7.09,0.0,0.0,0.0
MADISON,,,,37.99,49.29,,73.32,,,50.71,0.0,0.0,62.01,,0.0,10.82,71.82,89.66,25,,,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0
MONROE,,,,43.81,49.07,,85.92,,,48.45,0.0,0.7,53.81,,0.0,12.19,57.53,87.21,26,,,3.27,34.76,0.93,0.0,3.2,23.01,11.74,1.41,0.0,46.09,0.0,0.0,0.0
MONTGOMERY,,,,53.9,49.51,,78.44,,,50.49,0.0,0.0,46.1,,0.0,15.59,38.12,82.92,27,,,2.5,46.71,0.0,0.0,0.0,3.23,19.67,1.1,0.0,36.78,0.0,0.0,0.0
NASSAU,,,,29.85,48.42,,88.38,,,51.52,0.0,0.24,70.11,,0.0,10.97,51.43,93.33,28,,,4.33,44.34,1.34,0.0,11.23,11.53,21.54,1.19,0.0,26.26,0.0,0.0,0.0
NEW YORK,,,,66.63,53.46,,74.56,,,45.7,0.0,0.64,30.01,,0.0,14.97,9.82,81.79,31,,,7.09,34.34,4.42,0.03,13.03,21.54,42.8,6.69,0.0,66.24,0.0,0.0,0.0
NIAGARA,,,,40.71,49.16,,84.93,,,50.84,0.0,1.99,59.29,,0.0,13.32,77.39,86.55,40,,,0.16,11.87,0.0,2.01,1.14,11.87,2.67,1.06,0.0,44.39,0.0,0.0,0.0
ONEIDA,,,,46.99,49.81,,81.59,,,50.19,0.0,0.52,53.01,,0.0,12.76,53.47,88.62,41,,,2.49,24.56,2.26,0.0,5.8,8.04,6.55,1.09,0.0,40.74,0.0,0.0,0.0
ONONDAGA,,,,42.01,49.59,,85.85,,,50.38,0.0,1.22,57.8,,0.0,12.81,62.84,86.23,42,,,3.09,29.1,1.09,0.39,3.93,17.7,5.23,2.88,0.0,58.48,0.0,0.0,0.0
ONTARIO,,,,33.57,47.86,,84.34,,,52.14,0.0,0.79,66.43,,0.0,8.68,69.41,91.86,43,,,0.79,12.5,0.13,0.0,1.27,2.29,5.17,0.66,0.0,15.3,0.0,0.0,0.0
ORANGE,,,,39.95,48.99,,85.01,,,50.9,0.0,0.33,59.69,,0.0,13.08,55.3,89.88,44,,,1.94,43.88,0.87,0.0,1.73,13.38,26.36,1.97,0.0,51.39,0.0,3.72,0.62
ORLEANS,,,,49.6,48.79,,81.93,,,51.21,0.0,1.98,50.4,,0.0,14.34,73.08,90.49,45,,,0.0,0.0,0.0,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0
OSWEGO,,,,47.51,47.88,,88.15,,,52.12,0.11,0.34,52.49,,6.15,11.85,76.85,86.01,46,,,0.24,12.37,0.0,0.0,0.0,0.49,1.8,4.63,0.0,63.33,0.0,0.0,0.0
OTSEGO,,,,40.31,48.92,,66.01,,,51.08,0.0,0.0,59.69,,0.0,13.07,37.63,88.46,47,,,0.0,0.0,0.0,0.0,0.7,1.85,1.85,0.0,0.0,0.0,0.0,0.0,0.0
PUTNAM,,,,22.41,49.24,,86.72,,,50.76,0.0,0.67,77.59,,0.0,13.28,74.41,94.49,48,,,1.62,40.47,0.54,0.0,1.67,1.65,18.63,0.0,0.0,0.0,0.0,0.0,0.0
QUEENS,,,,71.59,46.93,,80.49,,,51.97,0.0,0.57,28.24,,0.0,12.54,11.0,84.36,34,,,7.68,59.36,6.04,0.66,27.71,19.7,35.36,3.89,0.0,69.84,0.0,0.0,0.0
RENSSELAER,,,,39.36,48.99,,84.81,,,51.01,0.0,2.17,60.64,,0.0,15.19,65.77,90.73,49,,,0.6,20.28,0.0,0.0,1.7,10.47,5.43,1.42,0.0,41.16,0.0,0.0,0.0
RICHMOND,,,,55.12,48.35,,74.61,,,51.65,0.0,0.18,44.88,,0.0,18.24,48.04,85.73,35,,,2.07,75.7,2.04,0.04,10.01,13.52,25.44,3.23,0.0,78.25,0.0,0.0,0.0
ROCKLAND,,,,37.17,49.26,,87.89,,,50.45,0.0,0.46,62.77,,0.0,11.82,46.61,88.89,50,,,8.28,65.19,2.8,0.06,7.07,13.88,28.63,1.86,0.06,26.51,6.49,0.0,0.0
SAINT LAWRENCE,,,,47.67,50.12,,72.3,,,49.38,0.0,0.0,51.83,,0.0,12.93,40.07,88.37,51,,,0.0,0.0,0.0,2.88,0.19,0.0,0.0,2.51,0.0,39.52,0.0,0.0,0.0
SARATOGA,,,,22.7,48.26,,88.29,,,51.74,0.0,0.07,77.3,,0.0,9.91,83.87,92.71,52,,,0.16,19.92,0.0,0.0,2.74,1.64,2.53,1.48,0.0,55.27,0.0,0.0,0.0
SCHENECTADY,,,,44.23,50.17,,85.26,,,49.83,0.0,0.97,55.77,,0.0,13.77,55.91,82.07,53,,,1.28,41.09,0.37,0.0,12.82,16.38,8.17,1.1,0.0,27.15,0.0,0.0,0.0
SCHOHARIE,,,,45.17,52.59,,74.16,,,47.41,0.0,0.0,53.71,,0.0,11.8,34.08,86.57,54,,,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.51,0.0,12.92,0.0,0.0,0.0
SCHUYLER,,,,40.42,49.53,,87.38,,,50.47,0.0,0.0,59.58,,0.0,12.62,31.54,93.93,55,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,14.25,0.0,0.0,0.0
SENECA,,,,46.21,48.6,,80.27,,,51.4,0.0,0.0,53.79,,0.0,13.81,83.59,87.18,56,,,0.0,0.0,0.0,0.0,0.0,0.62,1.87,3.43,0.0,39.04,0.0,0.0,0.0
STEUBEN,,,,44.68,49.31,,76.1,,,49.86,0.0,0.74,54.95,,0.0,12.09,42.37,90.24,57,,,0.0,0.0,0.0,0.0,1.29,1.66,0.14,0.83,0.0,29.1,0.0,0.0,0.0
SUFFOLK,,,,36.1,48.82,,87.09,,,51.15,0.01,0.41,63.53,,0.71,12.31,60.76,92.26,58,,,5.23,63.3,1.12,0.06,3.49,7.4,24.63,1.58,0.07,47.69,9.56,0.0,0.0
SULLIVAN,,,,53.09,48.3,,75.2,,,51.7,0.47,0.47,46.91,,8.84,13.08,57.52,85.11,59,,,3.02,44.39,0.0,0.0,0.23,9.73,20.1,2.33,0.0,46.3,0.0,0.0,0.0
TIOGA,,,,44.57,50.82,,83.61,,,49.18,0.0,0.0,55.43,,0.0,12.78,47.02,90.67,60,,,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0
TOMPKINS,,,,34.12,47.5,,81.21,,,51.22,0.0,3.39,64.6,,0.0,10.2,56.88,91.0,61,,,0.58,28.05,0.41,0.0,5.87,3.47,2.52,0.0,0.0,0.0,0.0,0.0,0.0
ULSTER,,,,43.49,49.34,,83.72,,,50.66,0.0,1.68,56.51,,0.0,16.28,71.31,89.22,62,,,1.9,34.66,0.31,0.0,0.42,8.28,13.88,1.22,0.0,36.12,0.0,0.0,0.0
WARREN,,,,35.85,48.4,,76.13,,,51.6,0.0,0.57,62.69,,0.0,11.56,62.78,88.84,63,,,0.0,0.0,0.0,0.0,0.33,1.27,1.32,1.13,0.0,27.41,0.0,0.0,0.0
WASHINGTON,,,,40.33,49.39,,69.55,,,50.61,0.0,0.36,59.67,,0.0,12.88,37.83,84.8,64,,,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
WAYNE,,,,42.49,50.76,,85.04,,,49.24,0.0,1.19,57.51,,0.0,11.95,78.04,89.69,65,,,0.0,0.0,0.0,0.0,0.0,3.07,4.44,1.61,0.0,25.7,0.0,0.0,0.0
WESTCHESTER,,,,37.74,48.62,,85.81,,,51.12,0.0,0.92,52.42,,0.0,12.34,47.83,91.8,66,,,3.08,44.33,1.38,0.0,4.56,12.78,29.62,1.18,0.0,23.91,0.0,0.0,0.0
WYOMING,,,,36.83,49.31,,74.81,,,50.69,0.0,0.0,63.17,,0.0,11.32,27.51,94.6,67,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YATES,,,,53.43,44.58,,87.0,,,55.42,0.0,0.0,46.57,,0.0,13.0,64.8,83.94,68,,,0.0,0.0,0.0,0.0,0.0,0.0,1.26,2.53,0.0,47.29,0.0,0.0,0.0
