"DISTRICTID","DISTRICT_NAME","GRADE_RANGE","GEOID","DSB","NEEDS_INDEX","BOCES_CD","YEAR"
"510401","CLIFTON-FINE CSD","PK-12","3607710","510401",4,"5190",2016
"510501","COLTON-PIERREPONT CSD","PK-12","3608100","510501",5,"5190",2016
"511101","GOUVERNEUR CSD","PK-12, UE, US","3612360","511101",4,"5190",2016
"511201","HAMMOND CSD","PK-12","3613440","511201",4,"5190",2016
"511301","HERMON-DEKALB CSD","K-12","3614250","511301",4,"5190",2016
"511602","LISBON CSD","PK-12","3617430","511602",4,"5190",2016
"511901","MADRID-WADDINGTON CSD","PK-12","3618090","511901",5,"5190",2016
"512001","MASSENA CSD","PK-12, UE, US","3618660","512001",4,"5190",2016
"512101","MORRISTOWN CSD","PK-12","3619890","512101",4,"5190",2016
"512201","NORWOOD-NORFOLK CSD","PK-12, US","3621360","512201",4,"5190",2016
"512300","OGDENSBURG CITY SD","PK-12, UE, US","3621660","512300",4,"5190",2016
"512404","HEUVELTON CSD","PK-12","3614310","512404",4,"5190",2016
"512501","PARISHVILLE-HOPKINTON CSD","PK-12","3622440","512501",4,"5190",2016
"512902","POTSDAM CSD","PK-12, UE, US","3623670","512902",5,"5190",2016
"513102","EDWARDS-KNOX CSD","K-12, UE, US","3600003","513102",4,"5190",2016
"520101","BURNT HILLS-BALLSTON LAKE CSD","K-12, UE, US","3605940","520101",6,"0190",2016
"520302","SHENENDEHOWA CSD","K-12, UE, US","3626670","520302",5,"0190",2016
"520401","CORINTH CSD","K-12, UE, US","3608370","520401",5,"6490",2016
"520601","EDINBURG COMN SD","PK-6","3610230","520601",5,"2090",2016
"520701","GALWAY CSD","K-12, UE, US","3611730","520701",5,"6490",2016
"521200","MECHANICVILLE CITY SD","K-12, UE, US","3618900","521200",5,"6490",2016
"521301","BALLSTON SPA CSD","PK-12, UE, US","3603930","521301",5,"6490",2016
"521401","SOUTH GLENS FALLS CSD","PK-12, UE, US","3627240","521401",5,"6490",2016
"521701","SCHUYLERVILLE CSD","K-12, UE, US","3626160","521701",5,"6490",2016
"521800","SARATOGA SPRINGS CITY SD","PK-12, UE, US","3625770","521800",5,"6490",2016
"522001","STILLWATER CSD","PK-12, UE, US","3628110","522001",5,"6490",2016
"522101","WATERFORD-HALFMOON UFSD","K-12, UE, US","3630060","522101",5,"6490",2016
"530101","DUANESBURG CSD","K-12","3609360","530101",5,"0190",2016
"530202","SCOTIA-GLENVILLE CSD","K-12, UE, US","3626310","530202",5,"0190",2016
"530301","NISKAYUNA CSD","K-12, UE, US","3620880","530301",6,"0190",2016
"530501","SCHALMONT CSD","K-12, UE, US","3625980","530501",5,"0190",2016
"530515","ROTTERDAM-MOHONASEN CSD","K-12, UE, US","3600004","530515",5,"0190",2016
"530600","SCHENECTADY CITY SD","PK-12, UE, US","3626010","530600",3,"0190",2016
"540801","GILBOA-CONESVILLE CSD","K-12, UE, US","3612120","540801",5,"1990",2016
"540901","JEFFERSON CSD","PK-12","3615720","540901",4,"1990",2016
"541001","MIDDLEBURGH CSD","PK-12","3619260","541001",5,"0190",2016
"541102","COBLESKILL-RICHMONDVILLE CSD","PK-12, UE, US","3600010","541102",5,"0190",2016
"541201","SCHOHARIE CSD","K-12, UE, US","3626100","541201",5,"0190",2016
"541401","SHARON SPRINGS CSD","K-12","3626580","541401",5,"0190",2016
"550101","ODESSA-MONTOUR CSD","K-12, UE, US","3621630","550101",4,"5590",2016
"550301","WATKINS GLEN CSD","K-12, US","3630240","550301",5,"5590",2016
"560501","SOUTH SENECA CSD","K-12, UE, US","3622140","560501",4,"6190",2016
"560603","ROMULUS CSD","K-12","3624930","560603",4,"4390",2016
"560701","SENECA FALLS CSD","PK-12, UE","3626430","560701",5,"4390",2016
"561006","WATERLOO CSD","PK-12, UE, US","3600014","561006",4,"4390",2016
"570101","ADDISON CSD","K-12, US","3602370","570101",4,"5590",2016
"570201","AVOCA CSD","K-12","3603630","570201",4,"5590",2016
"570302","BATH CSD","K-12, UE, US","3604050","570302",4,"5590",2016
"570401","BRADFORD CSD","K-12, US","3605220","570401",4,"5590",2016
"570603","CAMPBELL-SAVONA CSD","K-12, UE","3600020","570603",4,"5590",2016
"571000","CORNING CITY SD","K-12, UE, US","3608400","571000",5,"5590",2016
"571502","CANISTEO-GREENWOOD CSD","K-12, UE, US","","",4,"5590",2016
"571800","HORNELL CITY SD","K-12, UE, US","3614820","571800",4,"5590",2016
"571901","ARKPORT CSD","PK-12, UE","3603240","571901",5,"5590",2016
"572301","PRATTSBURGH CSD","PK-12, UE, US","3623790","572301",4,"5590",2016
"572702","JASPER-TROUPSBURG CSD","K-12, UE","3600007","572702",4,"5590",2016
"572901","HAMMONDSPORT CSD","K-12, US","3613470","572901",5,"5590",2016
"573002","WAYLAND-COHOCTON CSD","PK-12, UE, US","3600011","573002",4,"2490",2016
"580101","BABYLON UFSD","K-12, UE, US","3603720","580101",6,"5893",2016
"580102","WEST BABYLON UFSD","K-12, UE, US","3630540","580102",5,"5893",2016
"580103","NORTH BABYLON UFSD","K-12, UE, US","3620910","580103",5,"5893",2016
"580104","LINDENHURST UFSD","K-12, UE, US","3617380","580104",5,"5893",2016
"580105","COPIAGUE UFSD","K-12, UE, US","3608310","580105",3,"5893",2016
"580106","AMITYVILLE UFSD","PK-12, UE, US","3602940","580106",3,"5893",2016
"580107","DEER PARK UNION FREE SCHOOL","PK-12, UE, US","3608880","580107",5,"5893",2016
"580109","WYANDANCH UFSD","K-12, UE, US","3631800","580109",3,"5893",2016
"580201","THREE VILLAGE CSD","K-12, UE, US","3628200","580201",6,"5891",2016
"580203","BROOKHAVEN-COMSEWOGUE UFSD","PK-12, UE, US","3615780","580203",5,"5891",2016
"580205","SACHEM CSD","PK-12, UE, US","3625350","580205",5,"5891",2016
"580206","PORT JEFFERSON UFSD","PK-12, UE, US","3623490","580206",6,"5891",2016
"580207","MT SINAI UFSD","K-12, UE, US","3620040","580207",6,"5891",2016
"580208","MILLER PLACE UFSD","K-12, UE","3619410","580208",6,"5891",2016
"580209","ROCKY POINT UFSD","PK-12, UE, US","3624840","580209",5,"5891",2016
"580211","MIDDLE COUNTRY CSD","PK-12, UE, US","3619200","580211",5,"5891",2016
"580212","LONGWOOD CSD","PK-12, UE, US","3619230","580212",5,"5891",2016
"580224","PATCHOGUE-MEDFORD UFSD","PK-12, UE, US","3622470","580224",5,"5891",2016
"580232","WILLIAM FLOYD UFSD","PK-12, UE, US","3618690","580232",5,"5891",2016
"580233","CTR MORICHES UFSD","PK-12, UE, US","3606840","580233",5,"5891",2016
"580234","EAST MORICHES UFSD","PK-8","3609870","580234",6,"5891",2016
"580235","SOUTH COUNTRY CSD","PK-12, UE, US","3600008","580235",5,"5891",2016
"580301","EAST HAMPTON UFSD","K-12, UE, US","3609660","580301",6,"5891",2016
"580302","WAINSCOTT COMN SD","K-3","3629760","580302",5,"5891",2016
"580303","AMAGANSETT UFSD","K-7, 11, UE","3602880","580303",6,"5891",2016
"580304","SPRINGS UFSD","PK-8, UE, US","3627900","580304",5,"5891",2016
"580305","SAG HARBOR UFSD","PK-12, UE, US","3625380","580305",6,"5891",2016
"580306","MONTAUK UFSD","K-8, UE","3619710","580306",6,"5891",2016
"580401","ELWOOD UFSD","K-12, UE, US","3610680","580401",5,"5893",2016
"580402","COLD SPRING HARBOR CSD","K-12, US","3608010","580402",6,"5893",2016
"580403","HUNTINGTON UFSD","PK-12, UE, US","3615090","580403",5,"5893",2016
"580404","NORTHPORT-EAST NORTHPORT UFSD","PK-12, UE, US","3621270","580404",6,"5893",2016
"580405","HALF HOLLOW HILLS CSD","PK-12, UE, US","3613290","580405",6,"5893",2016
"580406","HARBORFIELDS CSD","PK-12, UE, US","3613620","580406",6,"5893",2016
"580410","COMMACK UFSD","PK-12, UE, US","3608130","580410",6,"5893",2016
"580413","SOUTH HUNTINGTON UFSD","PK-12, UE, US","3627300","580413",5,"5893",2016
"580501","BAY SHORE UFSD","PK-12, UE, US","3604080","580501",5,"5891",2016
"580502","ISLIP UFSD","K-12, UE, US","3615540","580502",5,"5891",2016
"580503","EAST ISLIP UFSD","PK-12, UE, US","3609720","580503",5,"5891",2016
"580504","SAYVILLE UFSD","K-12, UE, US","3625920","580504",6,"5891",2016
"580505","BAYPORT-BLUE POINT UFSD","K-12, UE, US","3604110","580505",6,"5891",2016
"580506","HAUPPAUGE UFSD","K-12, UE, US","3613980","580506",6,"5891",2016
"580507","CONNETQUOT CSD","PK-12, UE, US","3608160","580507",5,"5891",2016
"580509","WEST ISLIP UFSD","K-12, UE, US","3630690","580509",6,"5891",2016
"580512","BRENTWOOD UFSD","PK-12, UE, US","3605280","580512",3,"5891",2016
"580513","CENTRAL ISLIP UFSD","PK-12, UE, US","3606870","580513",3,"5891",2016
"580514","FIRE ISLAND UFSD","PK-6","3621540","580514",6,"5891",2016
"580601","SHOREHAM-WADING RIVER CSD","K-12, UE, US","3626840","580601",6,"5891",2016
"580602","RIVERHEAD CSD","PK-12, UE, US","3624690","580602",5,"5891",2016
"580603","LITTLE FLOWER UFSD","4-12, UE, US","","580603",5,"5891",2016
"580701","SHELTER ISLAND UFSD","K-12","3626640","580701",6,"5891",2016
"580801","SMITHTOWN CSD","K-12, UE, US","3627060","580801",6,"5893",2016
"580805","KINGS PARK CSD","K-12, UE, US","3616260","580805",6,"5893",2016
"580901","REMSENBURG-SPEONK UFSD","PK-6","3624420","580901",6,"5891",2016
"580902","WESTHAMPTON BEACH UFSD","PK-12, UE","3631020","580902",6,"5891",2016
"580903","QUOGUE UFSD","K-6","3624060","580903",6,"5891",2016
"580905","HAMPTON BAYS UFSD","PK-12, UE, US","3613530","580905",5,"5891",2016
"580906","SOUTHAMPTON UFSD","K-12, UE, US","3627540","580906",6,"5891",2016
"580909","BRIDGEHAMPTON UFSD","K-12, UE, US","3605370","580909",6,"5891",2016
"580910","SAGAPONACK COMN SD","K-3","3625410","580910",5,"5891",2016
"580912","EASTPORT-SOUTH MANOR CSD","PK-12, UE, US","","",6,"5891",2016
"580913","TUCKAHOE COMN SD","K-8","3629070","580913",6,"5891",2016
"580917","EAST QUOGUE UFSD","K-6, UE","3609900","580917",6,"5891",2016
"581002","OYSTERPONDS UFSD","K-6, UE","3621930","581002",6,"5891",2016
"581004","FISHERS ISLAND UFSD","PK-K, 2-12","3611100","581004",6,"5891",2016
"581005","SOUTHOLD UFSD","PK-12, UE, US","3627620","581005",6,"5891",2016
"581010","GREENPORT UFSD","K-12, US","3612840","581010",5,"5891",2016
"581012","MATTITUCK-CUTCHOGUE UFSD","PK-12, UE, US","","",6,"5891",2016
"581015","NEW SUFFOLK COMN SD","PK-6","3620520","581015",5,"5891",2016
"590501","FALLSBURG CSD","PK-12, UE, US","3610950","590501",4,"5990",2016
"590801","ELDRED CSD","K-12","3610410","590801",5,"5990",2016
"590901","LIBERTY CSD","PK-12, UE, US","3617220","590901",4,"5990",2016
"591201","TRI-VALLEY CSD","K-12, UE, US","3628890","591201",5,"5990",2016
"591301","ROSCOE CSD","K-12, US","3625020","591301",5,"5990",2016
"591302","LIVINGSTON MANOR CSD","K-12","3617580","591302",4,"5990",2016
"591401","MONTICELLO CSD","K-12, UE, US","3619740","591401",4,"5990",2016
"591502","SULLIVAN WEST CSD","K-12, US","3600023","591502",5,"5990",2016
"600101","WAVERLY CSD","PK-12, UE, US","3630270","600101",4,"5590",2016
"600301","CANDOR CSD","K-12, US","3606420","600301",4,"6190",2016
"600402","NEWARK VALLEY CSD","PK-12, UE, US","3620670","600402",5,"0390",2016
"600601","OWEGO-APALACHIN CSD","PK-12, UE, US","3622170","600601",5,"0390",2016
"600801","SPENCER-VAN ETTEN CSD","K-12, UE, US","3627750","600801",4,"5590",2016
"600903","TIOGA CSD","PK-12, UE, US","3628710","600903",4,"0390",2016
"610301","DRYDEN CSD","K-12","3609330","610301",5,"6190",2016
"610327","GEORGE JUNIOR REPUBLIC UFSD","7-12, US","","610327",5,"6190",2016
"610501","GROTON CSD","PK-12","3613020","610501",5,"6190",2016
"610600","ITHACA CITY SD","K-12, UE, US","3615570","610600",5,"6190",2016
"610801","LANSING CSD","K-12, US","3616710","610801",5,"6190",2016
"610901","NEWFIELD CSD","K-12","3620790","610901",4,"6190",2016
"611001","TRUMANSBURG CSD","K-12, UE, US","3628980","611001",5,"6190",2016
"620600","KINGSTON CITY SD","PK-12, UE, US","3616290","620600",5,"6290",2016
"620803","HIGHLAND CSD","K-12, US","3614400","620803",5,"6290",2016
"620901","RONDOUT VALLEY CSD","PK-12, UE, US","3624960","620901",5,"6290",2016
"621001","MARLBORO CSD","K-12, UE, US","3618570","621001",5,"4490",2016
"621101","NEW PALTZ CSD","K-12, UE, US","3620460","621101",5,"6290",2016
"621201","ONTEORA CSD","PK-12","3621840","621201",5,"6290",2016
"621601","SAUGERTIES CSD","K-12, UE, US","3625800","621601",5,"6290",2016
"621801","WALLKILL CSD","K-12, UE, US","3629790","621801",5,"6290",2016
"622002","ELLENVILLE CSD","PK-12, UE, US","3610500","622002",4,"6290",2016
"630101","BOLTON CSD","K-12","3605010","630101",6,"6490",2016
"630202","NORTH WARREN CSD","K-12, UE, US","3616960","630202",5,"6490",2016
"630300","GLENS FALLS CITY SD","PK-12, UE, US","3612240","630300",5,"6490",2016
"630601","JOHNSBURG CSD","PK-12","3615870","630601",5,"6490",2016
"630701","LAKE GEORGE CSD","K-12, US","3616470","630701",5,"6490",2016
"630801","HADLEY-LUZERNE CSD","PK-12, UE, US","3613110","630801",4,"6490",2016
"630902","QUEENSBURY UFSD","K-12, UE, US","3624030","630902",5,"6490",2016
"630918","GLENS FALLS COMN SD","K-6","3602310","630918",3,"6490",2016
"631201","WARRENSBURG CSD","PK-12, UE, US","3629910","631201",5,"6490",2016
"640101","ARGYLE CSD","PK-12, UE","3603210","640101",5,"6490",2016
"640502","FORT ANN CSD","PK-12, UE, US","3611280","640502",5,"6490",2016
"640601","FORT EDWARD UFSD","PK-12, US","3611310","640601",5,"6490",2016
"640701","GRANVILLE CSD","PK-12, UE, US","3612450","640701",4,"6490",2016
"640801","GREENWICH CSD","K-12, US","3612900","640801",5,"6490",2016
"641001","HARTFORD CSD","PK-12, UE, US","3613830","641001",5,"6490",2016
"641301","HUDSON FALLS CSD","PK-12, UE, US","3614970","641301",4,"6490",2016
"641401","PUTNAM CSD","K-6, UE","3623970","641401",4,"0990",2016
"641501","SALEM CSD","PK-12, UE, US","3625470","641501",5,"6490",2016
"641610","CAMBRIDGE CSD","K-12","3606210","641610",5,"6490",2016
"641701","WHITEHALL CSD","PK-12, UE, US","3631290","641701",4,"6490",2016
"650101","NEWARK CSD","PK-12, UE, US","3620640","650101",4,"4390",2016
"650301","CLYDE-SAVANNAH CSD","K-12, UE, US","3607860","650301",4,"4390",2016
"650501","LYONS CSD","PK-12, UE","3618030","650501",4,"4390",2016
"650701","MARION CSD","PK-12, UE, US","3618540","650701",5,"4390",2016
"650801","WAYNE CSD","PK-12, UE, US","3630330","650801",5,"4390",2016
"650901","PALMYRA-MACEDON CSD","PK-12, UE, US","3622380","650901",5,"4390",2016
"650902","GANANDA CSD","K-12, US","3611740","650902",5,"4390",2016
"651201","SODUS CSD","K-12, UE, US","3627120","651201",4,"4390",2016
"651402","WILLIAMSON CSD","PK-12, UE","3631440","651402",5,"4390",2016
"651501","NORTH ROSE-WOLCOTT CSD","K-12, US","3616980","651501",4,"4390",2016
"651503","RED CREEK CSD","K-12, UE, US","3624210","651503",4,"4390",2016
"660101","KATONAH-LEWISBORO UFSD","K-12, UE, US","3616080","660101",6,"4890",2016
"660102","BEDFORD CSD","K-12, UE, US","3619950","660102",6,"4890",2016
"660202","CROTON-HARMON UFSD","K-12, US","3608580","660202",6,"4890",2016
"660203","HENDRICK HUDSON CSD","K-12, UE, US","3614190","660203",6,"4890",2016
"660301","EASTCHESTER UFSD","K-12, UE, US","3610080","660301",6,"6690",2016
"660302","TUCKAHOE UFSD","PK-12, UE, US","3629040","660302",6,"6690",2016
"660303","BRONXVILLE UFSD","K-12, UE, US","3605640","660303",6,"6690",2016
"660401","UFSD - TARRYTOWNS","PK-12, UE, US","3628650","660401",5,"6690",2016
"660402","IRVINGTON UFSD","K-12, UE, US","3615450","660402",6,"6690",2016
"660403","DOBBS FERRY UFSD","K-12, UE, US","3609120","660403",6,"6690",2016
"660404","HASTINGS-ON-HUDSON UFSD","K-12, UE","3613950","660404",6,"6690",2016
"660405","ARDSLEY UFSD","K-12, UE, US","3603180","660405",6,"6690",2016
"660406","EDGEMONT UFS-GREENBURGH","K-12, UE","3610200","660406",6,"6690",2016
"660407","GREENBURGH CSD","PK-12, UE, US","3612720","660407",5,"6690",2016
"660409","ELMSFORD UFSD","PK-12","3610650","660409",5,"6690",2016
"660410","GREENBURGH-GRAHAM UFSD","2-12","","660410",5,"6690",2016
"660411","GREENBURGH ELEVEN UFSD","2, 5-12, UE","","660411",5,"6690",2016
"660412","GREENBURGH-NORTH CASTLE UFSD","5-12, UE, US","","660412",5,"6690",2016
"660501","HARRISON CSD","K-12, UE, US","3613740","660501",6,"6690",2016
"660701","MAMARONECK UFSD","PK-12, UE, US","3618240","660701",6,"6690",2016
"660801","MT PLEASANT CSD","K-12, UE, US","3620160","660801",6,"6690",2016
"660802","POCANTICO HILLS CSD","K-8","3623340","660802",6,"6690",2016
"660803","HAWTHORNE-CEDAR KNOLLS UFSD","3, 5-12, US","","660803",5,"6690",2016
"660804","MT PLEASANT-COTTAGE UFSD","1, 3-12, UE, US","","660804",5,"6690",2016
"660805","VALHALLA UNION FREE SCHOOL","K-12, UE, US","3629400","660805",6,"6690",2016
"660806","MT PLEASANT-BLYTHEDALE UFSD","K-12, UE, US","","660806",5,"6690",2016
"660809","PLEASANTVILLE UFSD","K-12, UE, US","3623310","660809",6,"6690",2016
"660900","MT VERNON CITY SD","PK-12, UE, US","3620100","660900",3,"6690",2016
"661004","CHAPPAQUA CSD","K-12, US","","661004",6,"4890",2016
"661100","NEW ROCHELLE CITY SD","PK-12, UE, US","3620490","661100",5,"6690",2016
"661201","BYRAM HILLS CSD","K-12, UE, US","3606060","661201",6,"6690",2016
"661301","NORTH SALEM CSD","K-12, UE, US","3621180","661301",6,"4890",2016
"661401","OSSINING UFSD","K-12, UE, US","3622020","661401",5,"4890",2016
"661402","BRIARCLIFF MANOR UFSD","K-12","3605340","661402",6,"4890",2016
"661500","PEEKSKILL CITY SD","PK-12, UE, US","3622650","661500",3,"4890",2016
"661601","PELHAM UFSD","K-12, UE, US","3622680","661601",6,"6690",2016
"661800","RYE CITY SD","K-12, UE, US","3625260","661800",6,"6690",2016
"661901","RYE NECK UFSD","K-12","3625290","661901",6,"6690",2016
"661904","PORT CHESTER-RYE UFSD","K-12, UE, US","3623460","661904",3,"6690",2016
"661905","BLIND BROOK-RYE UFSD","K-12, UE","3624630","661905",6,"6690",2016
"662001","SCARSDALE UFSD","K-12, US","3625950","662001",6,"6690",2016
"662101","SOMERS CSD","K-12, UE, US","3627180","662101",6,"4890",2016
"662200","WHITE PLAINS CITY SD","PK-12, UE, US","3631260","662200",5,"6690",2016
"662300","YONKERS CITY SD","K-12, UE, US","3631920","662300",2,"6690",2016
"662401","LAKELAND CSD","PK-12, UE, US","3616620","662401",5,"4890",2016
"662402","YORKTOWN CSD","K-12, UE, US","3631980","662402",6,"4890",2016
"670201","ATTICA CSD","K-12, UE, US","3603420","670201",5,"2490",2016
"670401","LETCHWORTH CSD","K-12, UE, US","3617130","670401",5,"2490",2016
"671002","WYOMING CSD","K-8","3631860","671002",5,"2490",2016
"671201","PERRY CSD","PK-12, US","3622770","671201",5,"2490",2016
"671501","WARSAW CSD","PK-12, US","3629940","671501",5,"2490",2016
"680601","PENN YAN CSD","K-12, UE, US","3622740","680601",4,"4390",2016
"680801","DUNDEE CSD","PK-12, UE, US","3609390","680801",4,"4390",2016
